panel,cohort_label,coord,n_parquet_cells,qc_status,structural_acceptability,sample_type,has_all_primary_inputs
AR,NAC2020,"[46784,11501]",4869.0,Unusable,Unusable,TURBT,True
AR,NAC2020,"[47022,9876]",1178.0,Unusable,Unusable,TURBT,True
AR,NAC2020,"[47094,18873]",8482.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[47141,8290]",6287.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[47252,17049]",9104.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[47260,6664]",7263.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[47371,15344]",7347.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[47450,13521]",7270.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[47530,8287]",6601.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[47569,10032]",5340.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[47569,11776]",10402.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[47854,18043]",3942.0,Acceptable,Acceptable,RC,True
AR,NAC2020,"[48013,16378]",6941.0,Acceptable,Acceptable,RC,True
AR,NAC2020,"[48330,13206]",5752.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[48410,11541]",4411.0,Unusable,Unusable,TURBT,True
AR,NAC2020,"[48489,9915]",3001.0,Unusable,Unusable,TURBT,True
AR,NAC2020,"[48838,18834]",5250.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[48917,17089]",6222.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[49036,15305]",6116.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[49195,13600]",8597.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[49195,8366]",3931.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[49234,10150]",9079.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[49274,11895]",5543.0,Borderline,Borderline,TURBT,True
AR,NAC2020,"[49678,18083]",5922.0,Acceptable,Acceptable,RC,True
AR,NAC2020,"[49877,14871]",4776.0,Borderline,Borderline,TURBT,True
