entity_id,branch,panel,cohort_label,sample_type,coord,qc_status,has_all_primary_inputs,n_parquet_cells,tissue_class,adjusted_area_percent
"TMA|AR|[44080,11618]",TMA,AR,NAC2020,TURBT,"[44080,11618]",Acceptable,True,13463.0,Epi,26.487544871097572
"TMA|AR|[44278,8128]",TMA,AR,NAC2020,TURBT,"[44278,8128]",Acceptable,True,7702.0,Epi,55.18337685931646
"TMA|AR|[45119,11501]",TMA,AR,NAC2020,TURBT,"[45119,11501]",Acceptable,True,7779.0,Epi,11.197068403908794
"TMA|AR|[45277,9876]",TMA,AR,NAC2020,TURBT,"[45277,9876]",Acceptable,True,8920.0,Epi,47.93801549612597
"TMA|AR|[45428,18873]",TMA,AR,NAC2020,TURBT,"[45428,18873]",Acceptable,True,8784.0,Epi,72.15307665464697
"TMA|AR|[45547,17089]",TMA,AR,NAC2020,TURBT,"[45547,17089]",Acceptable,True,8437.0,Epi,18.727506426735218
"TMA|AR|[45626,15305]",TMA,AR,NAC2020,TURBT,"[45626,15305]",Acceptable,True,9320.0,Epi,12.264373232799247
"TMA|AR|[45666,13481]",TMA,AR,NAC2020,TURBT,"[45666,13481]",Acceptable,True,9668.0,Epi,75.60555619331879
"TMA|AR|[45825,11657]",TMA,AR,NAC2020,TURBT,"[45825,11657]",Acceptable,True,9553.0,Epi,15.321004360246578
"TMA|AR|[45864,9992]",TMA,AR,NAC2020,TURBT,"[45864,9992]",Acceptable,True,7893.0,Epi,50.98275654166164
"TMA|AR|[45944,8247]",TMA,AR,NAC2020,TURBT,"[45944,8247]",Acceptable,True,7666.0,Epi,11.28133704735376
"TMA|AR|[47094,18873]",TMA,AR,NAC2020,TURBT,"[47094,18873]",Acceptable,True,8482.0,Epi,71.13222853169545
"TMA|AR|[47141,8290]",TMA,AR,NAC2020,TURBT,"[47141,8290]",Acceptable,True,6287.0,Epi,47.16621253405994
"TMA|AR|[47252,17049]",TMA,AR,NAC2020,TURBT,"[47252,17049]",Acceptable,True,9104.0,Epi,56.75880348352897
"TMA|AR|[47260,6664]",TMA,AR,NAC2020,TURBT,"[47260,6664]",Acceptable,True,7263.0,Epi,64.16726748377793
"TMA|AR|[47371,15344]",TMA,AR,NAC2020,TURBT,"[47371,15344]",Acceptable,True,7347.0,Epi,6.751804553026097
"TMA|AR|[47450,13521]",TMA,AR,NAC2020,TURBT,"[47450,13521]",Acceptable,True,7270.0,Epi,66.4213682202235
"TMA|AR|[47530,8287]",TMA,AR,NAC2020,TURBT,"[47530,8287]",Acceptable,True,6601.0,Epi,20.4358292157608
"TMA|AR|[47569,10032]",TMA,AR,NAC2020,TURBT,"[47569,10032]",Acceptable,True,5340.0,Epi,31.37597420048374
"TMA|AR|[47569,11776]",TMA,AR,NAC2020,TURBT,"[47569,11776]",Acceptable,True,10402.0,Epi,22.38594836732288
"TMA|AR|[48330,13206]",TMA,AR,NAC2020,TURBT,"[48330,13206]",Acceptable,True,5752.0,Epi,29.87642734240576
"TMA|AR|[48838,18834]",TMA,AR,NAC2020,TURBT,"[48838,18834]",Acceptable,True,5250.0,Epi,55.88342440801458
"TMA|AR|[48917,17089]",TMA,AR,NAC2020,TURBT,"[48917,17089]",Acceptable,True,6222.0,Epi,25.584708536151012
"TMA|AR|[49036,15305]",TMA,AR,NAC2020,TURBT,"[49036,15305]",Acceptable,True,6116.0,Epi,53.81320642474718
"TMA|AR|[49195,13600]",TMA,AR,NAC2020,TURBT,"[49195,13600]",Acceptable,True,8597.0,Epi,89.70335585843546
"TMA|AR|[49195,8366]",TMA,AR,NAC2020,TURBT,"[49195,8366]",Acceptable,True,3931.0,Epi,75.16409912926991
"TMA|AR|[49234,10150]",TMA,AR,NAC2020,TURBT,"[49234,10150]",Acceptable,True,9079.0,Epi,18.725008568490804
"TMA|AR|[49274,11895]",TMA,AR,NAC2020,TURBT,"[49274,11895]",Borderline,True,5543.0,Epi,37.107819716515365
"TMA|AR|[49877,14871]",TMA,AR,NAC2020,TURBT,"[49877,14871]",Borderline,True,4776.0,Epi,30.253893748666528
"TMA|AR|[50075,13246]",TMA,AR,NAC2020,TURBT,"[50075,13246]",Acceptable,True,6174.0,Epi,59.28158754081888
"TMA|AR|[50194,11541]",TMA,AR,NAC2020,TURBT,"[50194,11541]",Acceptable,True,4306.0,Epi,45.09108495889086
"TMA|AR|[50543,18794]",TMA,AR,NAC2020,TURBT,"[50543,18794]",Acceptable,True,5043.0,Epi,73.54612501511305
"TMA|AR|[50662,17089]",TMA,AR,NAC2020,TURBT,"[50662,17089]",Acceptable,True,6701.0,Epi,33.01385681293303
"TMA|AR|[50781,15384]",TMA,AR,NAC2020,TURBT,"[50781,15384]",Acceptable,True,6307.0,Epi,50.24441340782123
"TMA|AR|[50900,8445]",TMA,AR,NAC2020,TURBT,"[50900,8445]",Acceptable,True,4700.0,Epi,35.12666848270226
