prep_root,panel,cohort,sample_type,region_class,label,label_base,excluded_from_primary,n_cells,n_units,mean_cells_per_unit
phenotype_only,BT,No-NAC,TURBT,Stroma,cd8_t_cell,cd8_t_cell,False,31721,152,208.69078947368422
phenotype_only,BT,No-NAC,TURBT,Stroma,treg_cell,treg_cell,False,20092,152,132.18421052631578
phenotype_only,BT,No-NAC,TURBT,Stroma,plasma_cell,plasma_cell,False,16517,152,108.66447368421052
phenotype_only,BT,No-NAC,TURBT,Stroma,b_cell,b_cell,False,10707,152,70.4407894736842
phenotype_only,BT,PURE01,RC,Epi,tumour,tumour,False,6678,10,667.8
phenotype_only,BT,PURE01,RC,Epi,stroma,stroma,False,175,10,17.5
phenotype_only,BT,PURE01,RC,Epi,t_cell,t_cell,False,19,10,1.9
phenotype_only,BT,PURE01,RC,Epi,cd8_t_cell,cd8_t_cell,False,17,10,1.7
phenotype_only,BT,PURE01,RC,Epi,treg_cell,treg_cell,False,8,10,0.8
phenotype_only,BT,PURE01,RC,Epi,plasma_cell,plasma_cell,False,1,10,0.1
phenotype_only,BT,PURE01,RC,Stroma,stroma,stroma,False,36687,14,2620.5
phenotype_only,BT,PURE01,RC,Stroma,t_cell,t_cell,False,5719,14,408.5
phenotype_only,BT,PURE01,RC,Stroma,tumour,tumour,False,2608,14,186.28571428571428
phenotype_only,BT,PURE01,RC,Stroma,b_cell,b_cell,False,2340,14,167.14285714285714
phenotype_only,BT,PURE01,RC,Stroma,cd8_t_cell,cd8_t_cell,False,2160,14,154.28571428571428
phenotype_only,BT,PURE01,RC,Stroma,plasma_cell,plasma_cell,False,1807,14,129.07142857142858
phenotype_only,BT,PURE01,RC,Stroma,treg_cell,treg_cell,False,1095,14,78.21428571428571
phenotype_only,BT,PURE01,TURBT,Epi,tumour,tumour,False,269642,123,2192.211382113821
phenotype_only,BT,PURE01,TURBT,Epi,stroma,stroma,False,36054,123,293.1219512195122
phenotype_only,BT,PURE01,TURBT,Epi,cd8_t_cell,cd8_t_cell,False,7153,123,58.15447154471545
phenotype_only,BT,PURE01,TURBT,Epi,t_cell,t_cell,False,2559,123,20.804878048780488
phenotype_only,BT,PURE01,TURBT,Epi,treg_cell,treg_cell,False,2002,123,16.276422764227643
phenotype_only,BT,PURE01,TURBT,Epi,plasma_cell,plasma_cell,False,292,123,2.3739837398373984
phenotype_only,BT,PURE01,TURBT,Epi,b_cell,b_cell,False,203,123,1.6504065040650406
phenotype_only,BT,PURE01,TURBT,Stroma,stroma,stroma,False,275693,127,2170.8110236220473
phenotype_only,BT,PURE01,TURBT,Stroma,t_cell,t_cell,False,42724,127,336.40944881889766
phenotype_only,BT,PURE01,TURBT,Stroma,tumour,tumour,False,40371,127,317.88188976377955
phenotype_only,BT,PURE01,TURBT,Stroma,cd8_t_cell,cd8_t_cell,False,33130,127,260.86614173228344
phenotype_only,BT,PURE01,TURBT,Stroma,treg_cell,treg_cell,False,18329,127,144.3228346456693
phenotype_only,BT,PURE01,TURBT,Stroma,plasma_cell,plasma_cell,False,16649,127,131.09448818897638
phenotype_only,BT,PURE01,TURBT,Stroma,b_cell,b_cell,False,13018,127,102.50393700787401
