prep_root,panel,cohort,sample_type,label,label_base,excluded_from_primary,n_cells,total_cells,cell_fraction
compartment_state,AR,No-NAC,TURBT,immune__checkpoint_neg,immune,False,118728,906139,0.1310262553537592
compartment_state,AR,No-NAC,TURBT,stroma__PDL1,stroma,False,83892,906139,0.09258182243563073
compartment_state,AR,No-NAC,TURBT,immune__PDL1,immune,False,58868,906139,0.06496575028775939
compartment_state,AR,No-NAC,TURBT,tumor__PDL1,tumor,False,22615,906139,0.02495753962692258
compartment_state,AR,No-NAC,TURBT,immune__PD1,immune,False,10844,906139,0.011967258886329801
compartment_state,AR,No-NAC,TURBT,stroma__PD1,stroma,False,6160,906139,0.006798074026170378
compartment_state,AR,No-NAC,TURBT,immune__PD1_PDL1,immune,False,5901,906139,0.006512245913706396
compartment_state,AR,No-NAC,TURBT,stroma__PD1_PDL1,stroma,False,1604,906139,0.0017701478470742347
compartment_state,AR,PURE01,RC,stroma__checkpoint_neg,stroma,False,28489,61981,0.4596408576821929
compartment_state,AR,PURE01,RC,immune__checkpoint_neg,immune,False,15070,61981,0.2431390264758555
compartment_state,AR,PURE01,RC,tumor__checkpoint_neg,tumor,False,14464,61981,0.23336183669188945
compartment_state,AR,PURE01,RC,immune__PDL1,immune,False,1722,61981,0.027782707603943142
compartment_state,AR,PURE01,RC,stroma__PDL1,stroma,False,1056,61981,0.017037479227505203
compartment_state,AR,PURE01,RC,immune__PD1,immune,False,834,61981,0.013455736435359224
compartment_state,AR,PURE01,RC,tumor__PDL1,tumor,False,135,61981,0.0021780868330617447
compartment_state,AR,PURE01,RC,stroma__PD1,stroma,False,134,61981,0.0021619528565205467
compartment_state,AR,PURE01,RC,immune__PD1_PDL1,immune,False,68,61981,0.0010971104048014715
compartment_state,AR,PURE01,RC,stroma__PD1_PDL1,stroma,False,9,61981,0.000145205788870783
compartment_state,AR,PURE01,TURBT,stroma__checkpoint_neg,stroma,False,275359,757097,0.3637037262068137
compartment_state,AR,PURE01,TURBT,tumor__checkpoint_neg,tumor,False,202455,757097,0.26740959216586513
compartment_state,AR,PURE01,TURBT,immune__checkpoint_neg,immune,False,103755,757097,0.13704320582435275
compartment_state,AR,PURE01,TURBT,stroma__PDL1,stroma,False,65833,757097,0.08695451177326023
compartment_state,AR,PURE01,TURBT,immune__PDL1,immune,False,44017,757097,0.05813918163722746
compartment_state,AR,PURE01,TURBT,immune__PD1,immune,False,24675,757097,0.032591596585378094
compartment_state,AR,PURE01,TURBT,stroma__PD1,stroma,False,20058,757097,0.026493302707579082
compartment_state,AR,PURE01,TURBT,tumor__PDL1,tumor,False,11702,757097,0.01545640783149319
compartment_state,AR,PURE01,TURBT,immune__PD1_PDL1,immune,False,6681,757097,0.00882449672895283
compartment_state,AR,PURE01,TURBT,stroma__PD1_PDL1,stroma,False,2562,757097,0.0033839785390775553
phenotype_only,AR,BLASST,RC,stroma,stroma,False,1185427,1563573,0.7581526414180854
phenotype_only,AR,BLASST,RC,tumor,tumor,False,155764,1563573,0.09962054857688128
phenotype_only,AR,BLASST,RC,t_cell,t_cell,False,114117,1563573,0.07298475990567757
phenotype_only,AR,BLASST,RC,macrophage,macrophage,False,107049,1563573,0.06846434416557462
phenotype_only,AR,BLASST,RC,cd8_t_cell,cd8_t_cell,False,1216,1563573,0.0007777059337811538
phenotype_only,AR,BLASST,TURBT,stroma,stroma,False,3744824,5088987,0.7358682582604357
phenotype_only,AR,BLASST,TURBT,t_cell,t_cell,False,606592,5088987,0.11919700325428224
phenotype_only,AR,BLASST,TURBT,macrophage,macrophage,False,392235,5088987,0.07707526075425226
phenotype_only,AR,BLASST,TURBT,tumor,tumor,False,343328,5088987,0.06746490018543966
phenotype_only,AR,BLASST,TURBT,cd8_t_cell,cd8_t_cell,False,2008,5088987,0.0003945775455901145
phenotype_only,AR,NAC2020,RC,stroma,stroma,False,45045,109427,0.41164429254206003
phenotype_only,AR,NAC2020,RC,tumor,tumor,False,29396,109427,0.2686357114788855
phenotype_only,AR,NAC2020,RC,macrophage,macrophage,False,20036,109427,0.18309923510650936
phenotype_only,AR,NAC2020,RC,t_cell,t_cell,False,13203,109427,0.12065577965218821
phenotype_only,AR,NAC2020,RC,cd8_t_cell,cd8_t_cell,False,1747,109427,0.01596498122035695
phenotype_only,AR,NAC2020,TURBT,stroma,stroma,False,354248,739808,0.4788377524979454
phenotype_only,AR,NAC2020,TURBT,tumor,tumor,False,197430,739808,0.2668665383450841
phenotype_only,AR,NAC2020,TURBT,macrophage,macrophage,False,100536,739808,0.1358947186296985
phenotype_only,AR,NAC2020,TURBT,t_cell,t_cell,False,71823,739808,0.09708329728794499
phenotype_only,AR,NAC2020,TURBT,cd8_t_cell,cd8_t_cell,False,15771,739808,0.02131769323932696
phenotype_only,AR,No-NAC,RC,stroma,stroma,False,191817,354392,0.541256574640511
phenotype_only,AR,No-NAC,RC,tumor,tumor,False,95490,354392,0.2694473915889749
phenotype_only,AR,No-NAC,RC,macrophage,macrophage,False,34294,354392,0.09676855008013725
phenotype_only,AR,No-NAC,RC,t_cell,t_cell,False,27623,354392,0.0779447617327705
phenotype_only,AR,No-NAC,RC,cd8_t_cell,cd8_t_cell,False,5168,354392,0.014582721957606267
phenotype_only,AR,No-NAC,TURBT,stroma,stroma,False,415143,906139,0.4581449424426054
phenotype_only,AR,No-NAC,TURBT,tumor,tumor,False,296655,906139,0.32738354711583983
phenotype_only,AR,No-NAC,TURBT,t_cell,t_cell,False,95884,906139,0.10581599511774684
phenotype_only,AR,No-NAC,TURBT,macrophage,macrophage,False,88392,906139,0.09754794794176169
phenotype_only,AR,No-NAC,TURBT,cd8_t_cell,cd8_t_cell,False,10065,906139,0.011107567382046242
phenotype_only,AR,PURE01,RC,stroma,stroma,False,29688,61981,0.47898549555508946
phenotype_only,AR,PURE01,RC,tumor,tumor,False,14599,61981,0.2355399235249512
phenotype_only,AR,PURE01,RC,macrophage,macrophage,False,9998,61981,0.1613074974588987
phenotype_only,AR,PURE01,RC,t_cell,t_cell,False,7041,61981,0.11359932882657589
phenotype_only,AR,PURE01,RC,cd8_t_cell,cd8_t_cell,False,655,61981,0.010567754634484762
phenotype_only,AR,PURE01,TURBT,stroma,stroma,False,363812,757097,0.48053551922673055
phenotype_only,AR,PURE01,TURBT,tumor,tumor,False,214157,757097,0.28286599999735834
phenotype_only,AR,PURE01,TURBT,macrophage,macrophage,False,91245,757097,0.12051956354337687
phenotype_only,AR,PURE01,TURBT,t_cell,t_cell,False,81550,757097,0.10771407098429923
phenotype_only,AR,PURE01,TURBT,cd8_t_cell,cd8_t_cell,False,6333,757097,0.008364846248235035
phenotype_only,BT,BLASST,RC,stroma,stroma,False,955054,1170122,0.8162003620135336
phenotype_only,BT,BLASST,RC,tumour,tumour,False,58773,1170122,0.05022809587376359
phenotype_only,BT,BLASST,RC,t_cell,t_cell,False,54736,1170122,0.04677802827397485
phenotype_only,BT,BLASST,RC,cd8_t_cell,cd8_t_cell,False,49545,1170122,0.04234173872467999
phenotype_only,BT,BLASST,RC,b_cell,b_cell,False,26139,1170122,0.02233869630688082
phenotype_only,BT,BLASST,RC,treg_cell,treg_cell,False,13651,1170122,0.0116663048810295
phenotype_only,BT,BLASST,RC,plasma_cell,plasma_cell,False,12224,1170122,0.010446773926137616
phenotype_only,BT,BLASST,TURBT,stroma,stroma,False,2246208,3165309,0.7096330879544461
phenotype_only,BT,BLASST,TURBT,tumour,tumour,False,279092,3165309,0.08817211842508899
phenotype_only,BT,BLASST,TURBT,t_cell,t_cell,False,263666,3165309,0.08329866057310677
phenotype_only,BT,BLASST,TURBT,cd8_t_cell,cd8_t_cell,False,140553,3165309,0.044404195609338615
phenotype_only,BT,BLASST,TURBT,treg_cell,treg_cell,False,102594,3165309,0.032412001482319736
phenotype_only,BT,BLASST,TURBT,b_cell,b_cell,False,93270,3165309,0.029466317506442498
phenotype_only,BT,BLASST,TURBT,plasma_cell,plasma_cell,False,39926,3165309,0.012613618449257244
phenotype_only,BT,NAC2020,RC,stroma,stroma,False,70928,127216,0.5575399320840146
phenotype_only,BT,NAC2020,RC,tumour,tumour,False,35542,127216,0.27938309646585335
phenotype_only,BT,NAC2020,RC,cd8_t_cell,cd8_t_cell,False,7745,127216,0.060880706829329646
phenotype_only,BT,NAC2020,RC,t_cell,t_cell,False,5601,127216,0.04402748082002264
phenotype_only,BT,NAC2020,RC,treg_cell,treg_cell,False,3136,127216,0.02465098729719532
phenotype_only,BT,NAC2020,RC,plasma_cell,plasma_cell,False,2920,127216,0.022953087661929317
phenotype_only,BT,NAC2020,RC,b_cell,b_cell,False,1344,127216,0.010564708841655137
phenotype_only,BT,NAC2020,TURBT,stroma,stroma,False,335804,766090,0.4383349214844209
phenotype_only,BT,NAC2020,TURBT,tumour,tumour,False,293983,766090,0.3837447297314937
phenotype_only,BT,NAC2020,TURBT,cd8_t_cell,cd8_t_cell,False,51746,766090,0.06754558863841063
phenotype_only,BT,NAC2020,TURBT,t_cell,t_cell,False,28136,766090,0.036726755342061636
phenotype_only,BT,NAC2020,TURBT,b_cell,b_cell,False,19752,766090,0.02578287146418828
phenotype_only,BT,NAC2020,TURBT,treg_cell,treg_cell,False,19466,766090,0.025409547181140597
phenotype_only,BT,NAC2020,TURBT,plasma_cell,plasma_cell,False,17203,766090,0.022455586158284274
phenotype_only,BT,No-NAC,RC,stroma,stroma,False,146836,327565,0.44826522980171873
phenotype_only,BT,No-NAC,RC,tumour,tumour,False,124564,327565,0.38027261764840564
phenotype_only,BT,No-NAC,RC,cd8_t_cell,cd8_t_cell,False,20946,327565,0.06394456062155603
phenotype_only,BT,No-NAC,RC,t_cell,t_cell,False,16251,327565,0.049611527483094955
phenotype_only,BT,No-NAC,RC,treg_cell,treg_cell,False,7638,327565,0.023317509501930914
phenotype_only,BT,No-NAC,RC,plasma_cell,plasma_cell,False,6910,327565,0.021095049837436843
phenotype_only,BT,No-NAC,RC,b_cell,b_cell,False,4420,327565,0.013493505105856852
phenotype_only,BT,No-NAC,TURBT,tumour,tumour,False,389357,852040,0.45697033003145393
phenotype_only,BT,No-NAC,TURBT,stroma,stroma,False,319421,852040,0.37488967654100747
phenotype_only,BT,No-NAC,TURBT,t_cell,t_cell,False,48453,852040,0.056867048495375806
phenotype_only,BT,No-NAC,TURBT,cd8_t_cell,cd8_t_cell,False,42699,852040,0.05011384442044974
phenotype_only,BT,No-NAC,TURBT,treg_cell,treg_cell,False,23448,852040,0.027519834749542275
phenotype_only,BT,No-NAC,TURBT,plasma_cell,plasma_cell,False,17571,852040,0.020622271254870664
phenotype_only,BT,No-NAC,TURBT,b_cell,b_cell,False,11091,852040,0.013016994507300126
phenotype_only,BT,PURE01,RC,stroma,stroma,False,36862,59314,0.6214721650875005
phenotype_only,BT,PURE01,RC,tumour,tumour,False,9286,59314,0.15655663081228716
phenotype_only,BT,PURE01,RC,t_cell,t_cell,False,5738,59314,0.09673938699126682
phenotype_only,BT,PURE01,RC,b_cell,b_cell,False,2340,59314,0.03945105708601679
phenotype_only,BT,PURE01,RC,cd8_t_cell,cd8_t_cell,False,2177,59314,0.036702970630879725
phenotype_only,BT,PURE01,RC,plasma_cell,plasma_cell,False,1808,59314,0.03048184239808477
phenotype_only,BT,PURE01,RC,treg_cell,treg_cell,False,1103,59314,0.018595946993964326
phenotype_only,BT,PURE01,TURBT,stroma,stroma,False,311747,757819,0.4113739560501914
phenotype_only,BT,PURE01,TURBT,tumour,tumour,False,310013,757819,0.40908581072789146
phenotype_only,BT,PURE01,TURBT,t_cell,t_cell,False,45283,757819,0.059754374065575024
phenotype_only,BT,PURE01,TURBT,cd8_t_cell,cd8_t_cell,False,40283,757819,0.0531564925133838
phenotype_only,BT,PURE01,TURBT,treg_cell,treg_cell,False,20331,757819,0.02682830596751995
phenotype_only,BT,PURE01,TURBT,plasma_cell,plasma_cell,False,16941,757819,0.0223549422751343
phenotype_only,BT,PURE01,TURBT,b_cell,b_cell,False,13221,757819,0.01744611840030403
