[WROTE] /projects/ovcare/users/nikolay_alabi/immuno/weibull/run_reviewed_AR_state/tma/No-NAC/AR/chunk_0003 | samples=45 | cells=219629
[WROTE] /projects/ovcare/users/nikolay_alabi/immuno/weibull/run_reviewed_AR_state/tma/PURE01/AR/chunk_0001 | samples=100 | cells=429664
[WROTE] /projects/ovcare/users/nikolay_alabi/immuno/weibull/run_reviewed_AR_state/tma/PURE01/AR/chunk_0002 | samples=96 | cells=422338
[WROTE] /projects/ovcare/users/nikolay_alabi/immuno/weibull/run_reviewed_AR_state/wholesection/BLASST/AR/chunk_0001 | samples=100 | cells=1052014
[WROTE] /projects/ovcare/users/nikolay_alabi/immuno/weibull/run_reviewed_AR_state/wholesection/BLASST/AR/chunk_0002 | samples=100 | cells=944631
[WROTE] /projects/ovcare/users/nikolay_alabi/immuno/weibull/run_reviewed_AR_state/wholesection/BLASST/AR/chunk_0003 | samples=100 | cells=1270195
[WROTE] /projects/ovcare/users/nikolay_alabi/immuno/weibull/run_reviewed_AR_state/wholesection/BLASST/AR/chunk_0004 | samples=100 | cells=1261565
[WROTE] /projects/ovcare/users/nikolay_alabi/immuno/weibull/run_reviewed_AR_state/wholesection/BLASST/AR/chunk_0005 | samples=100 | cells=930317
[WROTE] /projects/ovcare/users/nikolay_alabi/immuno/weibull/run_reviewed_AR_state/wholesection/BLASST/AR/chunk_0006 | samples=90 | cells=843760

Done.
Chunk summary: /projects/ovcare/users/nikolay_alabi/immuno/weibull/run_reviewed_AR_state/chunk_summary.tsv
