cohort,panel,prep_root,feature_family,n_unique_features,n_features_present_in_all_units,median_fraction_units_nonmissing,n_source_files,n_units_observed,mean_nonmissing_features_per_unit,median_nonmissing_features_per_unit
No-NAC,AR,AR_checkpoint_state,nearest_neighbor,10,10,1.0,30,245,152.66122448979593,160.0
No-NAC,AR,AR_checkpoint_state,triads,97,61,1.0,97,245,90.98775510204082,97.0
No-NAC,AR,AR_state,ATHENA,1881,129,0.6,5241,245,878.6571428571428,929.0
No-NAC,AR,AR_state,cell_features,1152,316,0.8775510204081632,1152,245,940.5959183673469,981.0
No-NAC,AR,AR_state,nearest_neighbor,10,10,1.0,30,245,2673.0489795918365,2764.0
No-NAC,AR,AR_state,triads,14905,7579,1.0,14905,245,11696.420408163265,11893.0
No-NAC,AR,compartment,ATHENA,134,134,1.0,402,245,133.9265306122449,134.0
No-NAC,AR,compartment,cell_features,42,42,1.0,42,245,42.0,42.0
No-NAC,AR,compartment,nearest_neighbor,10,10,1.0,30,245,90.0,90.0
No-NAC,AR,compartment,triads,40,40,1.0,40,245,40.0,40.0
No-NAC,AR,compartment_state,ATHENA,660,131,0.9111111111111111,1974,245,466.18367346938777,488.0
No-NAC,AR,compartment_state,cell_features,336,156,0.9836734693877551,336,245,304.1142857142857,309.0
No-NAC,AR,compartment_state,nearest_neighbor,10,10,1.0,30,245,898.8571428571429,984.0
No-NAC,AR,compartment_state,triads,2203,1141,1.0,2203,245,1888.6122448979593,1948.0
No-NAC,AR,phenotype_only,ATHENA,250,186,1.0,750,245,242.75918367346938,250.0
No-NAC,AR,phenotype_only,cell_features,222,182,1.0,222,245,218.77551020408163,222.0
No-NAC,AR,phenotype_only,nearest_neighbor,10,10,1.0,30,245,247.20408163265307,250.0
No-NAC,AR,phenotype_only,triads,634,571,1.0,634,245,628.4897959183673,634.0
No-NAC,BT,compartment,ATHENA,134,117,1.0,402,245,133.20816326530613,134.0
No-NAC,BT,compartment,cell_features,42,36,1.0,42,245,41.910204081632656,42.0
No-NAC,BT,compartment,nearest_neighbor,10,10,1.0,30,245,90.0,90.0
No-NAC,BT,compartment,triads,40,34,1.0,40,245,39.88979591836735,40.0
No-NAC,BT,phenotype_only,ATHENA,414,169,0.9555555555555556,1242,245,358.0938775510204,383.0
No-NAC,BT,phenotype_only,cell_features,282,142,1.0,282,245,268.0816326530612,272.0
No-NAC,BT,phenotype_only,nearest_neighbor,10,10,1.0,30,245,483.1714285714286,490.0
No-NAC,BT,phenotype_only,triads,859,556,1.0,859,245,808.0734693877552,814.0
PURE01,AR,AR_checkpoint_state,ATHENA,156,60,0.9895833333333334,312,196,137.25510204081633,142.0
PURE01,AR,AR_checkpoint_state,cell_features,66,32,0.9948979591836735,66,196,61.80102040816327,63.0
PURE01,AR,AR_checkpoint_state,nearest_neighbor,10,10,1.0,20,196,147.3469387755102,160.0
PURE01,AR,AR_checkpoint_state,triads,97,61,1.0,97,196,86.83673469387755,88.0
PURE01,AR,AR_state,ATHENA,1816,115,0.42354166666666665,3495,196,769.8724489795918,765.0
PURE01,AR,AR_state,cell_features,1152,258,0.7959183673469388,1152,196,870.0969387755102,886.0
PURE01,AR,AR_state,nearest_neighbor,10,10,1.0,20,196,2490.5714285714284,2515.5
PURE01,AR,AR_state,triads,14905,7585,1.0,14905,196,10893.877551020409,10486.0
PURE01,AR,compartment,ATHENA,134,106,1.0,268,196,133.1530612244898,134.0
PURE01,AR,compartment,cell_features,42,33,1.0,42,196,41.88265306122449,42.0
PURE01,AR,compartment,nearest_neighbor,10,10,1.0,20,196,90.0,90.0
PURE01,AR,compartment,triads,40,37,1.0,40,196,39.90816326530612,40.0
PURE01,AR,compartment_state,ATHENA,660,109,0.71,1320,196,423.4183673469388,448.0
PURE01,AR,compartment_state,cell_features,336,110,0.9693877551020408,336,196,288.3316326530612,300.0
PURE01,AR,compartment_state,nearest_neighbor,10,10,1.0,20,196,851.9795918367347,867.0
PURE01,AR,compartment_state,triads,2203,1129,1.0,2203,196,1768.5051020408164,1795.0
PURE01,AR,phenotype_only,ATHENA,250,125,0.995,500,196,235.94387755102042,250.0
PURE01,AR,phenotype_only,cell_features,222,141,1.0,222,196,215.6173469387755,222.0
PURE01,AR,phenotype_only,nearest_neighbor,10,10,1.0,20,196,244.9387755102041,250.0
PURE01,AR,phenotype_only,triads,634,568,1.0,634,196,623.9897959183673,634.0
PURE01,BT,compartment,ATHENA,134,82,1.0,268,186,129.08064516129033,134.0
PURE01,BT,compartment,cell_features,42,33,1.0,42,186,41.33870967741935,42.0
PURE01,BT,compartment,nearest_neighbor,10,10,1.0,20,186,90.0,90.0
PURE01,BT,compartment,triads,40,37,1.0,40,186,39.516129032258064,40.0
PURE01,BT,phenotype_only,ATHENA,414,82,0.9,828,186,319.5537634408602,308.0
PURE01,BT,phenotype_only,cell_features,282,121,0.978494623655914,282,186,256.52150537634407,262.0
PURE01,BT,phenotype_only,nearest_neighbor,10,10,1.0,20,186,474.5752688172043,490.0
PURE01,BT,phenotype_only,triads,859,550,1.0,859,186,783.6451612903226,784.0
