label,NAC2020,PURE01,No-NAC,BLASST
stroma,0.45531094608118605,0.42662455193952514,0.3952653642532882,0.7383953290918481
tumour,0.3688825553617685,0.3907552381313691,0.43567211057938887,0.07793112149634027
t_cell,0.03776645404822088,0.062439039911495436,0.05485225986665028,0.07344183311878334
cd8_t_cell,0.06659644063736278,0.051962165277867865,0.0539545017187957,0.04384754364675623
treg_cell,0.02530152041965463,0.026230736000137065,0.02635288931464346,0.02681278977799439
b_cell,0.023615647941466866,0.019043411537656662,0.013149316932362952,0.027542590344535527
plasma_cell,0.022526435510340243,0.022944857201948766,0.02075355733487057,0.01202879252374216
