label,NAC2020,PURE01,No-NAC,BLASST
stroma,0.47017963225726683,0.4804182263471855,0.4815113630684212,0.7411058299361449
tumor,0.26709450269948837,0.27928475676309217,0.31109508611846914,0.07502254771095639
macrophage,0.141977191236819,0.12360605461262542,0.09732882412253249,0.07505140878098056
t_cell,0.10012069686247034,0.10815941827274081,0.0979801369422886,0.10833558810442898
cd8_t_cell,0.02062797694395544,0.008531544004356118,0.012084589748288618,0.00048462546748920715
