prep_root,panel,label,label_base,excluded_from_primary,n_cells,n_units_present,median_fraction_when_present,mean_fraction_when_present,max_fraction_when_present,n_units_total,fraction_units_present
AR_state,AR,stroma__checkpoint_neg,stroma,False,1071935,481,0.3739890003235199,0.37184772928441784,0.7797253870873503,481,1.0
AR_state,AR,tumor__checkpoint_neg,tumor,False,784287,481,0.263969490963356,0.2856939339970742,0.7839599757428745,481,1.0
AR_state,AR,stroma__PDL1,stroma,False,278330,480,0.03803850153803865,0.0850244462708963,0.7169255928045789,481,0.997920997920998
AR_state,AR,macrophage__checkpoint_neg,macrophage,False,219413,481,0.06457593078943304,0.07707828926656002,0.33100616016427103,481,1.0
AR_state,AR,t_cell__checkpoint_neg,t_cell,False,162931,480,0.038077016692543694,0.05285814378439179,0.34376621130900914,481,0.997920997920998
AR_state,AR,macrophage__PDL1,macrophage,False,107480,457,0.019190654985398414,0.033959615203788,0.2528813559322034,481,0.9501039501039501
AR_state,AR,t_cell__PDL1,t_cell,False,72288,441,0.009979353062629044,0.023413459382603776,0.347052575677111,481,0.9168399168399168
AR_state,AR,tumor__PDL1,tumor,False,63440,442,0.0044064703102311585,0.021542991842458385,0.3011799747966548,481,0.918918918918919
AR_state,AR,t_cell__PD1,t_cell,False,48199,473,0.007590708972218006,0.01536701635508645,0.17177914110429449,481,0.9833679833679834
AR_state,AR,stroma__PD1,stroma,False,41195,417,0.0019504040122596824,0.016883121110374464,0.6728691476590636,481,0.8669438669438669
AR_state,AR,cd8_t_cell__PDL1,cd8_t_cell,False,17800,419,0.0031856796116504853,0.006600352357419975,0.06086806155974408,481,0.8711018711018711
AR_state,AR,t_cell__PD1_PDL1,t_cell,False,13706,354,0.0017580951043056825,0.005254460032211597,0.050131492439184744,481,0.735966735966736
AR_state,AR,macrophage__PD1,macrophage,False,12415,391,0.0011028398125172319,0.005155103636288246,0.21006054960409873,481,0.8128898128898129
AR_state,AR,cd8_t_cell__PD1_PDL1,cd8_t_cell,False,11716,374,0.0018063207218987198,0.004514042498544617,0.0466263169692894,481,0.7775467775467776
AR_state,AR,stroma__PD1_PDL1,stroma,False,8293,304,0.000925621295372885,0.0038373329143209928,0.07807363576594346,481,0.632016632016632
AR_state,AR,cd8_t_cell__PD1,cd8_t_cell,False,6582,369,0.0009725524097687487,0.0026684250428540726,0.034753363228699555,481,0.7671517671517671
AR_state,AR,macrophage__PD1_PDL1,macrophage,False,5193,267,0.0008613264427217916,0.002721576365047983,0.06869754429592788,481,0.5550935550935551
AR_state,AR,cd8_t_cell__checkpoint_neg,cd8_t_cell,False,3641,390,0.0009080327303963029,0.0014898317615379363,0.018363064008394544,481,0.8108108108108109
