prep_root,panel,label,label_base,excluded_from_primary,n_cells,n_units_present,median_fraction_when_present,mean_fraction_when_present,max_fraction_when_present,n_units_total,fraction_units_present
phenotype_only,BT,stroma,stroma,False,1221598,498,0.39804783380302844,0.4289869759267464,0.9974025974025974,498,1.0
phenotype_only,BT,tumour,tumour,False,1162745,498,0.4351015337575258,0.40828203233786325,0.9191919191919192,498,1.0
phenotype_only,BT,cd8_t_cell,cd8_t_cell,False,165596,498,0.03275942827635128,0.05224386444527027,0.2867501647989453,498,1.0
phenotype_only,BT,t_cell,t_cell,False,149462,496,0.03177266197133747,0.0502029235881759,0.35098522167487683,498,0.9959839357429718
phenotype_only,BT,treg_cell,treg_cell,False,75122,488,0.01633897254035618,0.024537023073219755,0.1693421052631579,498,0.9799196787148594
phenotype_only,BT,plasma_cell,plasma_cell,False,63353,483,0.008262978264774564,0.020846804129060082,0.17033525228581103,498,0.9698795180722891
phenotype_only,BT,b_cell,b_cell,False,52168,475,0.004790419161676647,0.017008138182478472,0.5452272139346382,498,0.9538152610441767
